Filename,Duration,IntervalTime,F1,F2,F3,F1c,F2c,F3c
Vowel_Heart,13.44,11.4,746,1317,2327,746,1317,2327
Vowel_Heart,13.44,11.405,758,1328,2375,758,1328,2375
Vowel_Heart,13.44,11.41,769,1339,2422,769,1339,2422
Vowel_Heart,13.44,11.415,769,1345,2468,769,1345,2468
Vowel_Heart,13.44,11.42,768,1352,2513,768,1352,2513
Vowel_Heart,13.44,11.425,769,1345,2510,769,1345,2510
Vowel_Heart,13.44,11.43,770,1339,2508,770,1339,2508
Vowel_Heart,13.44,11.435,788,1346,2564,788,1346,2564
Vowel_Heart,13.44,11.44,805,1353,2621,805,1353,2621
Vowel_Heart,13.44,11.445,798,1359,2509,798,1359,2509
Vowel_Heart,13.44,11.45,791,1364,2397,791,1364,2397
Vowel_Heart,13.44,11.455,804,1387,2453,804,1387,2453
Vowel_Heart,13.44,11.46,818,1410,2510,818,1410,2510
Vowel_Heart,13.44,11.465,798,1389,2502,798,1389,2502
Vowel_Heart,13.44,11.47,779,1367,2493,779,1367,2493
Vowel_Heart,13.44,11.475,777,1361,2436,777,1361,2436
Vowel_Heart,13.44,11.48,775,1354,2379,775,1354,2379
Vowel_Heart,13.44,11.485,795,1366,2380,795,1366,2380
Vowel_Heart,13.44,11.49,814,1379,2381,814,1379,2381
Vowel_Heart,13.44,11.495,789,1359,2519,789,1359,2519
Vowel_Heart,13.44,11.5,764,1340,2657,764,1340,2657
Vowel_Heart,13.44,11.505,760,1337,2659,760,1337,2659
Vowel_Heart,13.44,11.51,756,1334,2661,756,1334,2661
Vowel_Heart,13.44,11.515,754,1331,2697,754,1331,2697
Vowel_Heart,13.44,11.52,752,1329,2733,752,1329,2733
Vowel_Heart,13.44,11.525,765,1340,2715,765,1340,2715
Vowel_Heart,13.44,11.53,778,1351,2698,778,1351,2698
Vowel_Heart,13.44,11.535,774,1366,2616,774,1366,2616
Vowel_Heart,13.44,11.54,769,1382,2534,769,1382,2534
Vowel_Heart,13.44,11.545,772,1387,2606,772,1387,2606
Vowel_Heart,13.44,11.55,774,1392,2679,774,1392,2679
Vowel_Heart,13.44,11.555,774,1393,2722,774,1393,2722
Vowel_Heart,13.44,11.56,773,1394,2765,773,1394,2765
Vowel_Heart,13.44,11.565,763,1390,2785,763,1390,2785
Vowel_Heart,13.44,11.57,752,1385,2804,752,1385,2804
Vowel_Heart,13.44,11.575,758,1396,2661,758,1396,2661
Vowel_Heart,13.44,11.58,763,1408,2519,763,1408,2519
Vowel_Heart,13.44,11.585,771,1409,2557,771,1409,2557
Vowel_Heart,13.44,11.59,778,1411,2596,778,1411,2596
Vowel_Heart,13.44,11.595,773,1426,2565,773,1426,2565
Vowel_Heart,13.44,11.6,769,1441,2535,769,1441,2535
Vowel_Heart,13.44,11.605,763,1432,2671,763,1432,2671
Vowel_Heart,13.44,11.61,757,1424,2806,757,1424,2806
Vowel_Heart,13.44,11.615,759,1399,2812,759,1399,2812
Vowel_Heart,13.44,11.62,760,1374,2819,760,1374,2819
Vowel_Heart,13.44,11.625,778,1402,2816,778,1402,2816
Vowel_Heart,13.44,11.63,796,1430,2814,796,1430,2814
Vowel_Heart,13.44,11.635,774,1425,2823,774,1425,2823
Vowel_Heart,13.44,11.64,752,1421,2832,752,1421,2832
Vowel_Heart,13.44,11.645,754,1395,2793,754,1395,2793
Vowel_Heart,13.44,11.65,755,1369,2754,755,1369,2754
Vowel_Heart,13.44,11.655,761,1391,2828,761,1391,2828
Vowel_Heart,13.44,11.66,767,1414,2902,767,1414,2902
Vowel_Heart,13.44,11.665,744,1380,2897,744,1380,2897
Vowel_Heart,13.44,11.67,722,1347,2891,722,1347,2891
Vowel_Heart,13.44,11.675,733,1367,2883,733,1367,2883
Vowel_Heart,13.44,11.68,744,1387,2876,744,1387,2876
Vowel_Heart,13.44,11.685,741,1396,2887,741,1396,2887
Vowel_Heart,13.44,11.69,737,1405,2897,737,1405,2897
Vowel_Heart,13.44,11.695,734,1402,2936,734,1402,2936
Vowel_Heart,13.44,11.7,732,1399,2975,732,1399,2975
Vowel_Heart,13.44,11.705,728,1381,2953,728,1381,2953
Vowel_Heart,13.44,11.71,724,1363,2932,724,1363,2932
